pid,planId,createdAt,status,decision,mcpCall,op_count,op_kinds,risk_level,risk_score,risk_tags,requires_approval,gates_blocked,gates_evaluated,has_external_endpoint
P06,P06_PLN33,2026-04-24T09:08:18.359Z,applied,approved,ui_rename_component,1,ui.rename_component,low,40,R_REFERENCE,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN34,2026-04-24T09:08:18.104Z,applied,approved,ui_rename_component,1,ui.rename_component,low,40,R_REFERENCE,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN35,2026-04-24T09:08:17.870Z,applied,approved,ui_rename_component,1,ui.rename_component,low,40,R_REFERENCE,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN36,2026-04-24T09:08:17.622Z,applied,approved,ui_rename_component,1,ui.rename_component,low,40,R_REFERENCE,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN37,2026-04-24T09:08:17.293Z,applied,approved,ui_rename_component,1,ui.rename_component,low,40,R_REFERENCE,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN38,2026-04-24T09:05:16.200Z,applied,approved,ui_add_component,1,ui.add_component,low,10,,0,,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN39,2026-04-24T09:02:31.220Z,applied,approved,apply_operations_batch,10,ui.update_component_text,medium,50,R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P06,P06_PLN40,2026-04-24T09:02:16.824Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN41,2026-04-24T09:02:16.642Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN42,2026-04-24T09:02:16.460Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN43,2026-04-24T09:02:16.266Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN44,2026-04-24T09:02:16.052Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN45,2026-04-24T09:02:15.821Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN46,2026-04-24T09:02:15.636Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN47,2026-04-24T09:02:15.449Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN48,2026-04-24T09:02:15.215Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN49,2026-04-24T09:02:15.026Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
P06,P06_PLN50,2026-04-24T09:01:58.058Z,blocked,blocked,ui_update_component_text,1,ui.update_component_text,low,0,,0,preflight,preflight,0
